number,lable,name,length,width,height,length/width,height/length,width/height,AvgCurvature,Ellipticity,Sphericity
100,Vignadula_mangle,SYG14,0.057915,0.096786004,0.043842999,0.598381978,0.757023208,2.207558908,0.190233792,8.107416871,0.797750777
101,Vignadula_mangle,SYG16,6.568210125,10.88461113,5.008051872,0.603440035,0.762468279,2.173422202,0.145581675,8.378374868,0.81688828
102,Vignadula_mangle,SYG18,5.538979053,10.95062208,6.596070051,0.5058141,1.19084582,1.660173709,0.134575575,8.323823654,0.810788641
103,Vignadula_mangle,SYG2,6.468415976,10.79597902,4.813003063,0.599150476,0.744077543,2.243085841,0.130078399,8.212586728,0.810708156
104,Vignadula_mangle,SYG20,0.057882002,0.086374,0.038563,0.670132237,0.666234735,2.239815357,0.183050337,8.079208545,0.810447283
105,Vignadula_mangle,SYG22,5.929197788,7.934432983,4.043395996,0.747274292,0.681946553,1.962319048,0.151721032,7.80340696,0.836134128
106,Vignadula_mangle,SYG23,4.137909055,7.514145851,3.695188046,0.550682558,0.893008521,2.033494848,0.226372353,7.708340295,0.817172653
107,Vignadula_mangle,SYG3,4.80416894,9.361735821,5.067510128,0.513170744,1.054815139,1.847403475,0.178682254,8.077545602,0.817717045
108,Vignadula_mangle,SYG5,5.381051064,9.782984257,4.406606913,0.550041881,0.81891193,2.220071917,0.170263304,8.16482429,0.816066668
109,Vignadula_mangle,SYG6,4.841495991,10.94385195,5.294136047,0.442394142,1.093491776,2.06716485,0.140886971,8.286060614,0.80769063
110,Vignadula_mangle,SYGB1,3.205643058,4.919651031,2.41948992,0.651599684,0.754759615,2.033342231,0.217932091,7.700383506,0.754854893
111,Vignadula_mangle,SYGB3,2.898271084,4.951506853,3.259074032,0.585331126,1.124489027,1.519298673,0.205608722,7.61693756,0.622350976
112,Vignadula_mangle,SYGB4,3.786113132,4.881246805,2.444590032,0.775644683,0.645672738,1.996754769,0.176692615,7.985222864,0.770474729
113,Vignadula_mangle,SYGB5,2.837917089,5.070606947,2.574953079,0.559679959,0.907339079,1.969203629,0.175588822,7.711453281,0.84444048
114,Vignadula_mangle,SYGB6,2.76711297,5.108985186,3.166683018,0.541616949,1.144399615,1.613355412,0.204176461,7.721883844,0.676140882
115,Vignadula_mangle,SYGB8,4.15913403,5.318027973,2.808618128,0.782082014,0.675289161,1.893467795,0.133132838,7.681507617,0.84643023
117,Vignadula_mangle,XMB11,4.468833089,4.928375006,2.593698978,0.906755895,0.580397371,1.900133765,0.165952277,7.753850181,0.813068004
118,Vignadula_mangle,XMB2,2.467810988,5.365275145,3.469156027,0.45995982,1.405762452,1.546564958,0.155237288,7.981394913,0.833545023
119,Vignadula_mangle,XMB4,2.688545942,5.510574102,3.380144954,0.487888538,1.257239053,1.630277452,0.160367129,7.852956162,0.76450328
120,Vignadula_mangle,XMB5,2.625540972,4.723037004,2.629385948,0.555900995,1.001464451,1.796250949,0.267640974,7.788891888,0.834857617
121,Vignadula_mangle,XMB9,2.578258038,6.24760294,3.086331964,0.412679561,1.19706093,2.024280931,0.175581067,8.006009994,0.827249846
122,Vignadula_mangle,ZAP11,3.732758045,6.390063047,5.621874094,0.584150425,1.506091214,1.13664286,0.203380736,7.850236326,0.801439657
123,Vignadula_mangle,ZAP12,3.044901967,6.068973064,3.74902606,0.501716177,1.231246884,1.618813251,0.190181494,7.564083857,0.81163043
124,Vignadula_mangle,ZAP13,3.788161993,7.297098875,5.116809845,0.519132611,1.35073681,1.426103196,0.287154291,7.589163342,0.785285409
125,Vignadula_mangle,ZAP14,3.60511899,6.716100931,5.316543102,0.536787494,1.474720562,1.263245835,0.121190965,7.692907692,0.814433865
126,Vignadula_mangle,ZAP16,0.04693,0.066957999,0.033903999,0.700887136,0.722437654,1.974929226,0.11566991,7.03975591,0.772238627
127,Vignadula_mangle,ZAP17,3.547977924,6.367249966,3.732359052,0.557222968,1.051967947,1.705958585,0.241118003,7.6074612,0.861146862
